dataset_name,before_fix_global_accuracy,new_global_accuracy,user_input_size,repair_time,min_non_abstain_thresh,random_state,confirm_prev_rate,complain_fix_rate,global_accuracy_on_valid_data,new_global_accuracy_on_valid,valid_global_data_size,new_valid_global_data_size,runtimes,optimal_objective_value,avg_tree_depth,tree_cnt_after_fix,avg_tree_size,runtime_total,lf_acc_thresh,instance_acc_thresh
tweets,0.5440920181247821,0.4541652143604043,20,0.6732299327850342,0.3,1,0.4,0.8,0.5930851063829787,0.4851531229637904,10528,10743,"{'snorkel_first_run': 4.403556823730469, 'snorkel_run_after_fix': 8.556313514709473, 'solver_runtime': 1.0290231704711914, 'repair_time': 0.6732299327850342}",59.0,5.3125,16,10.625,14.662123441696167,0.3,0.3
tweets,0.5440920181247821,0.4778668525618682,20,1.0572583675384521,0.5,1,0.6,0.0,0.5930851063829787,0.494856524093124,10528,11082,"{'snorkel_first_run': 4.12477707862854, 'snorkel_run_after_fix': 11.317068815231323, 'solver_runtime': 1.2420015335083008, 'repair_time': 1.0572583675384521}",119.0,7.875,16,16.0,17.741105794906616,0.3,0.3
tweets,0.5440920181247821,0.546531892645521,20,1.0149497985839844,0.7,1,0.9,0.5,0.5930851063829787,0.546531892645521,10528,11476,"{'snorkel_first_run': 5.359384775161743, 'snorkel_run_after_fix': 14.028685092926025, 'solver_runtime': 1.3606922626495361, 'repair_time': 1.0149497985839844}",199.0,8.375,16,18.875,21.76371192932129,0.3,0.3
tweets,0.5440920181247821,0.5414778668525618,20,0.6430814266204834,0.3,1,0.6,1.0,0.5930851063829787,0.543371808324589,10528,11436,"{'snorkel_first_run': 4.455678462982178, 'snorkel_run_after_fix': 8.358360767364502, 'solver_runtime': 1.0196244716644287, 'repair_time': 0.6430814266204834}",60.0,5.125,16,10.625,14.476745128631592,0.3,0.5
tweets,0.5440920181247821,0.4541652143604043,20,0.6673998832702637,0.3,1,0.4,0.8,0.5930851063829787,0.4851531229637904,10528,10743,"{'snorkel_first_run': 4.431012392044067, 'snorkel_run_after_fix': 8.748173713684082, 'solver_runtime': 1.033806562423706, 'repair_time': 0.6673998832702637}",59.0,5.3125,16,10.625,14.88039255142212,0.3,0.3
tweets,0.5440920181247821,0.4778668525618682,20,1.0898258686065674,0.5,1,0.6,0.0,0.5930851063829787,0.494856524093124,10528,11082,"{'snorkel_first_run': 3.9163260459899902, 'snorkel_run_after_fix': 11.854038000106812, 'solver_runtime': 1.2490143775939941, 'repair_time': 1.0898258686065674}",119.0,7.875,16,16.0,18.109204292297363,0.3,0.3
tweets,0.5440920181247821,0.546531892645521,20,1.011873483657837,0.7,1,0.9,0.5,0.5930851063829787,0.546531892645521,10528,11476,"{'snorkel_first_run': 4.000752687454224, 'snorkel_run_after_fix': 11.678406238555908, 'solver_runtime': 1.30814528465271, 'repair_time': 1.011873483657837}",199.0,8.375,16,18.875,17.99917769432068,0.3,0.3
tweets,0.5440920181247821,0.5414778668525618,20,0.6397168636322021,0.3,1,0.6,1.0,0.5930851063829787,0.543371808324589,10528,11436,"{'snorkel_first_run': 4.379894971847534, 'snorkel_run_after_fix': 7.92328953742981, 'solver_runtime': 1.0155541896820068, 'repair_time': 0.6397168636322021}",60.0,5.125,16,10.625,13.958455562591553,0.3,0.5
tweets,0.5440920181247821,0.6334088532589752,20,1.0224852561950684,0.5,1,0.7,0.7,0.5930851063829787,0.6334088532589752,10528,11476,"{'snorkel_first_run': 5.588708162307739, 'snorkel_run_after_fix': 15.592015743255615, 'solver_runtime': 0.7737352848052979, 'repair_time': 1.0224852561950684}",119.0,7.6875,16,15.5,22.97694444656372,0.3,0.5
tweets,0.5440920181247821,0.45616939700243986,20,1.154618263244629,0.7,1,0.7,0.6,0.5930851063829787,0.45616939700243986,10528,11476,"{'snorkel_first_run': 4.505268335342407, 'snorkel_run_after_fix': 12.226242780685425, 'solver_runtime': 0.7493441104888916, 'repair_time': 1.154618263244629}",199.0,9.75,16,19.75,18.635473489761353,0.3,0.5
tweets,0.5440920181247821,0.4322934820494946,20,0.832813024520874,0.3,1,0.3,0.9,0.5930851063829787,0.4559323591581656,10528,10881,"{'snorkel_first_run': 4.646688461303711, 'snorkel_run_after_fix': 7.870971202850342, 'solver_runtime': 1.2219429016113281, 'repair_time': 0.832813024520874}",61.0,5.0625,16,10.125,14.572415590286255,0.3,0.7
tweets,0.5440920181247821,0.4913733008016731,20,1.0799899101257324,0.5,1,0.4,1.0,0.5930851063829787,0.4913733008016731,10528,11476,"{'snorkel_first_run': 4.1225433349609375, 'snorkel_run_after_fix': 10.890884160995483, 'solver_runtime': 1.2136924266815186, 'repair_time': 1.0799899101257324}",120.0,7.625,16,15.75,17.307109832763672,0.3,0.7
tweets,0.5440920181247821,0.5914081561519693,20,0.8378200531005859,0.7,1,0.6,1.0,0.5930851063829787,0.5914081561519693,10528,11476,"{'snorkel_first_run': 5.5319154262542725, 'snorkel_run_after_fix': 11.162121772766113, 'solver_runtime': 0.980628490447998, 'repair_time': 0.8378200531005859}",199.0,7.3125,16,16.875,18.51248574256897,0.3,0.7
tweets,0.5440920181247821,0.579121645172534,20,0.6375541687011719,0.3,1,0.6,0.3,0.5930851063829787,0.6074399049447035,10528,10941,"{'snorkel_first_run': 5.340507507324219, 'snorkel_run_after_fix': 11.253412008285522, 'solver_runtime': 1.0963492393493652, 'repair_time': 0.6375541687011719}",59.0,5.125,16,10.5,18.32782292366028,0.5,0.3
tweets,0.5440920181247821,0.49128616242593237,20,1.3887596130371094,0.5,1,0.6,1.0,0.5930851063829787,0.5122194966839284,10528,11007,"{'snorkel_first_run': 3.8812708854675293, 'snorkel_run_after_fix': 11.455142259597778, 'solver_runtime': 1.0188028812408447, 'repair_time': 1.3887596130371094}",119.0,7.5625,16,15.25,17.74397563934326,0.5,0.3
tweets,0.5440920181247821,0.4798710352039038,20,1.5512192249298096,0.7,1,0.7,0.8,0.5930851063829787,0.4798710352039038,10528,11476,"{'snorkel_first_run': 4.108488082885742, 'snorkel_run_after_fix': 12.182088136672974, 'solver_runtime': 1.0187079906463623, 'repair_time': 1.5512192249298096}",199.0,9.0,16,19.375,18.860503435134888,0.5,0.3
tweets,0.5440920181247821,0.4008365284071105,20,0.6925830841064453,0.3,1,0.1,0.9,0.5930851063829787,0.43075194306583015,10528,10679,"{'snorkel_first_run': 4.262390375137329, 'snorkel_run_after_fix': 8.412790536880493, 'solver_runtime': 1.3671538829803467, 'repair_time': 0.6925830841064453}",60.0,5.5,16,10.875,14.734917879104614,0.5,0.5
tweets,0.5440920181247821,0.5647438131753224,20,0.9056301116943359,0.5,1,1.0,0.8,0.5930851063829787,0.5647438131753224,10528,11476,"{'snorkel_first_run': 4.9955058097839355, 'snorkel_run_after_fix': 10.250189781188965, 'solver_runtime': 1.1269221305847168, 'repair_time': 0.9056301116943359}",119.0,7.1875,16,14.75,17.278247833251953,0.5,0.5
tweets,0.5440920181247821,0.47168002788428026,20,0.9906899929046631,0.7,1,0.1,0.5,0.5930851063829787,0.47168002788428026,10528,11476,"{'snorkel_first_run': 4.03698992729187, 'snorkel_run_after_fix': 11.53458833694458, 'solver_runtime': 1.1268246173858643, 'repair_time': 0.9906899929046631}",199.0,8.1875,16,17.875,17.689092874526978,0.5,0.5
tweets,0.5440920181247821,0.5670965493203207,20,0.6968526840209961,0.3,1,0.6,0.9,0.5930851063829787,0.6021465581051073,10528,10808,"{'snorkel_first_run': 4.1164867877960205, 'snorkel_run_after_fix': 8.43998122215271, 'solver_runtime': 2.9652013778686523, 'repair_time': 0.6968526840209961}",61.0,5.375,16,10.75,16.21852207183838,0.5,0.7
tweets,0.5440920181247821,0.48553502962704775,20,1.097365379333496,0.5,1,0.6,1.0,0.5930851063829787,0.48553502962704775,10528,11476,"{'snorkel_first_run': 4.086501121520996, 'snorkel_run_after_fix': 11.43371057510376, 'solver_runtime': 1.25173020362854, 'repair_time': 1.097365379333496}",120.0,8.125,16,16.625,17.869307279586792,0.5,0.7
tweets,0.5440920181247821,0.5836528407110492,20,0.8804783821105957,0.7,1,0.4,0.9,0.5930851063829787,0.5836528407110492,10528,11476,"{'snorkel_first_run': 4.7104926109313965, 'snorkel_run_after_fix': 10.718740224838257, 'solver_runtime': 0.9850118160247803, 'repair_time': 0.8804783821105957}",199.0,7.4375,16,16.375,17.29472303390503,0.5,0.7
tweets,0.5440920181247821,0.5797316138027188,20,0.5976431369781494,0.3,1,0.9,0.3,0.5930851063829787,0.5821156706623501,10528,11429,"{'snorkel_first_run': 4.066884279251099, 'snorkel_run_after_fix': 7.496235609054565, 'solver_runtime': 1.7918744087219238, 'repair_time': 0.5976431369781494}",59.0,4.8125,16,9.5,13.952637434005737,0.7,0.3
tweets,0.5440920181247821,0.5168177065179506,20,0.7076923847198486,0.5,1,0.7,1.0,0.5930851063829787,0.5168177065179506,10528,11476,"{'snorkel_first_run': 5.36279559135437, 'snorkel_run_after_fix': 12.132499694824219, 'solver_runtime': 1.4002187252044678, 'repair_time': 0.7076923847198486}",119.0,6.375,16,13.125,19.603206396102905,0.7,0.3
tweets,0.5440920181247821,0.6149355176019519,20,0.7984287738800049,0.7,1,0.5,0.8,0.5930851063829787,0.6149355176019519,10528,11476,"{'snorkel_first_run': 5.579423189163208, 'snorkel_run_after_fix': 9.684374570846558, 'solver_runtime': 1.3120970726013184, 'repair_time': 0.7984287738800049}",199.0,6.875,16,15.25,17.37432360649109,0.7,0.3
tweets,0.5440920181247821,0.5620425235273615,20,0.5521750450134277,0.3,2,0.4,0.9,0.5930851063829787,0.5636633749890763,10528,11443,"{'snorkel_first_run': 4.304908037185669, 'snorkel_run_after_fix': 8.409587621688843, 'solver_runtime': 1.0114359855651855, 'repair_time': 0.5521750450134277}",51.0,5.5,16,10.875,14.278106689453125,0.3,0.3
tweets,0.5440920181247821,0.4875392122690833,20,0.777348518371582,0.5,2,0.5,1.0,0.5930851063829787,0.4875392122690833,10528,11476,"{'snorkel_first_run': 4.078318357467651, 'snorkel_run_after_fix': 10.133503437042236, 'solver_runtime': 1.0146257877349854, 'repair_time': 0.777348518371582}",111.0,6.9375,16,15.625,16.003796100616455,0.3,0.3
tweets,0.5440920181247821,0.6268734750784245,20,0.9703471660614014,0.7,2,0.9,0.8,0.5930851063829787,0.6268734750784245,10528,11476,"{'snorkel_first_run': 4.074926137924194, 'snorkel_run_after_fix': 12.938091516494751, 'solver_runtime': 1.0790352821350098, 'repair_time': 0.9703471660614014}",191.0,9.5625,16,21.375,19.062400102615356,0.3,0.3
tweets,0.5440920181247821,0.5620425235273615,20,0.5410337448120117,0.3,2,0.4,0.9,0.5930851063829787,0.5636633749890763,10528,11443,"{'snorkel_first_run': 4.076665639877319, 'snorkel_run_after_fix': 7.803011655807495, 'solver_runtime': 1.0451323986053467, 'repair_time': 0.5410337448120117}",51.0,5.5,16,10.875,13.465843439102173,0.3,0.3
tweets,0.5440920181247821,0.4875392122690833,20,0.8130702972412109,0.5,2,0.5,1.0,0.5930851063829787,0.4875392122690833,10528,11476,"{'snorkel_first_run': 5.469820499420166, 'snorkel_run_after_fix': 13.895505905151367, 'solver_runtime': 1.071617603302002, 'repair_time': 0.8130702972412109}",111.0,6.9375,16,15.625,21.250014305114746,0.3,0.3
tweets,0.5440920181247821,0.6268734750784245,20,0.9635984897613525,0.7,2,0.9,0.8,0.5930851063829787,0.6268734750784245,10528,11476,"{'snorkel_first_run': 4.14100193977356, 'snorkel_run_after_fix': 12.499422073364258, 'solver_runtime': 1.0733139514923096, 'repair_time': 0.9635984897613525}",191.0,9.5625,16,21.375,18.67733645439148,0.3,0.3
tweets,0.5440920181247821,0.5146392471244337,20,0.5760793685913086,0.3,2,0.6,1.0,0.5930851063829787,0.5448842144109235,10528,10839,"{'snorkel_first_run': 4.058459281921387, 'snorkel_run_after_fix': 8.119805574417114, 'solver_runtime': 1.0059189796447754, 'repair_time': 0.5760793685913086}",51.0,5.4375,16,10.75,13.760263204574585,0.3,0.5
tweets,0.5440920181247821,0.4641861275705821,20,0.8320729732513428,0.5,2,0.3,0.1,0.5930851063829787,0.4644694393582701,10528,11469,"{'snorkel_first_run': 3.9859750270843506, 'snorkel_run_after_fix': 10.808539867401123, 'solver_runtime': 0.8646554946899414, 'repair_time': 0.8320729732513428}",111.0,7.9375,16,16.375,16.491243362426758,0.3,0.5
tweets,0.5440920181247821,0.6018647612408504,20,1.3134820461273193,0.7,2,0.9,0.8,0.5930851063829787,0.6018647612408504,10528,11476,"{'snorkel_first_run': 4.0658135414123535, 'snorkel_run_after_fix': 12.301124095916748, 'solver_runtime': 0.7937390804290771, 'repair_time': 1.3134820461273193}",191.0,9.375,16,21.125,18.474158763885498,0.3,0.5
tweets,0.5440920181247821,0.5389508539560822,20,0.5262224674224854,0.3,2,0.4,0.9,0.5930851063829787,0.5389508539560822,10528,11476,"{'snorkel_first_run': 3.9502177238464355, 'snorkel_run_after_fix': 7.623120069503784, 'solver_runtime': 1.4577419757843018, 'repair_time': 0.5262224674224854}",53.0,5.1875,16,10.5,13.557302236557007,0.3,0.7
tweets,0.5440920181247821,0.5291913558731265,20,0.7284104824066162,0.5,2,1.0,1.0,0.5930851063829787,0.5291913558731265,10528,11476,"{'snorkel_first_run': 4.372147083282471, 'snorkel_run_after_fix': 9.615326166152954, 'solver_runtime': 1.0526256561279297, 'repair_time': 0.7284104824066162}",111.0,7.0625,16,14.625,15.76850938796997,0.3,0.7
tweets,0.5440920181247821,0.695364238410596,20,0.7238271236419678,0.7,2,0.9,0.9,0.5930851063829787,0.695364238410596,10528,11476,"{'snorkel_first_run': 4.0710155963897705, 'snorkel_run_after_fix': 10.370528936386108, 'solver_runtime': 0.9030954837799072, 'repair_time': 0.7238271236419678}",191.0,7.5625,16,17.25,16.068467140197754,0.3,0.7
tweets,0.5440920181247821,0.46653886371558034,20,0.7325396537780762,0.3,2,0.5,1.0,0.5930851063829787,0.4843933773636117,10528,11053,"{'snorkel_first_run': 4.55678391456604, 'snorkel_run_after_fix': 7.4420177936553955, 'solver_runtime': 0.9932088851928711, 'repair_time': 0.7325396537780762}",51.0,4.8125,16,9.375,13.724550247192383,0.5,0.3
tweets,0.5440920181247821,0.6108400139421402,20,0.7474992275238037,0.5,2,0.9,0.8,0.5930851063829787,0.6108400139421402,10528,11476,"{'snorkel_first_run': 4.286561489105225, 'snorkel_run_after_fix': 13.648606061935425, 'solver_runtime': 0.9320685863494873, 'repair_time': 0.7474992275238037}",111.0,7.3125,16,15.75,19.61473536491394,0.5,0.3
tweets,0.5440920181247821,0.5877483443708609,20,0.8469161987304688,0.7,2,0.6,0.8,0.5930851063829787,0.5877483443708609,10528,11476,"{'snorkel_first_run': 5.422957420349121, 'snorkel_run_after_fix': 16.48139500617981, 'solver_runtime': 0.943575382232666, 'repair_time': 0.8469161987304688}",191.0,8.75,16,20.375,23.694844007492065,0.5,0.3
tweets,0.5440920181247821,0.5216103171836877,20,0.5916991233825684,0.3,2,0.7,0.9,0.5930851063829787,0.5216103171836877,10528,11476,"{'snorkel_first_run': 6.546493291854858, 'snorkel_run_after_fix': 11.14255428314209, 'solver_runtime': 1.278878927230835, 'repair_time': 0.5916991233825684}",51.0,5.625,16,11.0,19.55962562561035,0.5,0.5
tweets,0.5440920181247821,0.6242593238062043,20,0.7573831081390381,0.5,2,0.8,0.8,0.5930851063829787,0.6242593238062043,10528,11476,"{'snorkel_first_run': 4.101926326751709, 'snorkel_run_after_fix': 9.707857847213745, 'solver_runtime': 0.9603075981140137, 'repair_time': 0.7573831081390381}",111.0,7.375,16,15.75,15.527474880218506,0.5,0.5
tweets,0.5440920181247821,0.5671836876960613,20,1.1494348049163818,0.7,2,0.9,0.8,0.5930851063829787,0.5671836876960613,10528,11476,"{'snorkel_first_run': 3.929231643676758, 'snorkel_run_after_fix': 14.832777738571167, 'solver_runtime': 1.2983479499816895, 'repair_time': 1.1494348049163818}",191.0,8.25,16,18.375,21.209792137145996,0.5,0.5
tweets,0.5440920181247821,0.4392645521087487,20,0.7116856575012207,0.3,2,0.5,0.9,0.5930851063829787,0.45835606473904345,10528,10998,"{'snorkel_first_run': 4.175877094268799, 'snorkel_run_after_fix': 7.423924922943115, 'solver_runtime': 2.8587749004364014, 'repair_time': 0.7116856575012207}",53.0,5.3125,16,10.875,15.170262575149536,0.5,0.7
tweets,0.5440920181247821,0.5804287208086442,20,0.8230059146881104,0.5,2,0.9,1.0,0.5930851063829787,0.5937249309207594,10528,11219,"{'snorkel_first_run': 4.666583061218262, 'snorkel_run_after_fix': 10.563927173614502, 'solver_runtime': 1.1162669658660889, 'repair_time': 0.8230059146881104}",111.0,7.75,16,16.375,17.169783115386963,0.5,0.7
tweets,0.5440920181247821,0.8072499128616243,20,0.7941370010375977,0.7,2,1.0,0.9,0.5930851063829787,0.8072499128616243,10528,11476,"{'snorkel_first_run': 4.381265640258789, 'snorkel_run_after_fix': 10.689218044281006, 'solver_runtime': 1.00016450881958, 'repair_time': 0.7941370010375977}",191.0,7.8125,16,16.5,16.864785194396973,0.5,0.7
tweets,0.5440920181247821,0.5006971070059254,20,0.4836561679840088,0.3,2,0.6,1.0,0.5930851063829787,0.5195768152635862,10528,11059,"{'snorkel_first_run': 4.065271377563477, 'snorkel_run_after_fix': 7.811758518218994, 'solver_runtime': 1.455014705657959, 'repair_time': 0.4836561679840088}",51.0,4.875,16,9.5,13.815700769424438,0.7,0.3
tweets,0.5440920181247821,0.5569884977344022,20,0.9931120872497559,0.5,2,0.8,1.0,0.5930851063829787,0.5571341410267585,10528,11473,"{'snorkel_first_run': 4.141373157501221, 'snorkel_run_after_fix': 12.681480884552002, 'solver_runtime': 1.2105300426483154, 'repair_time': 0.9931120872497559}",111.0,6.8125,16,14.875,19.026496171951294,0.7,0.3
tweets,0.5440920181247821,0.6871732310909725,20,0.5396599769592285,0.7,2,0.8,1.0,0.5930851063829787,0.6871732310909725,10528,11476,"{'snorkel_first_run': 4.832596302032471, 'snorkel_run_after_fix': 8.290691614151001, 'solver_runtime': 1.186830997467041, 'repair_time': 0.5396599769592285}",191.0,5.375,16,11.875,14.849778890609741,0.7,0.3
tweets,0.5440920181247821,0.5526315789473685,20,0.7286245822906494,0.3,3,0.5,0.7,0.5930851063829787,0.5730032526201663,10528,11068,"{'snorkel_first_run': 5.7982306480407715, 'snorkel_run_after_fix': 10.789979696273804, 'solver_runtime': 1.0099873542785645, 'repair_time': 0.7286245822906494}",59.0,5.375,16,10.625,18.32682228088379,0.3,0.3
tweets,0.5440920181247821,0.7041652143604044,20,1.091562271118164,0.5,3,0.6,0.7,0.5930851063829787,0.7041652143604044,10528,11476,"{'snorkel_first_run': 4.022274494171143, 'snorkel_run_after_fix': 11.209381103515625, 'solver_runtime': 1.1322731971740723, 'repair_time': 1.091562271118164}",118.0,7.5,16,15.75,17.455491065979004,0.3,0.3
tweets,0.5440920181247821,0.5379923318229348,20,0.9879257678985596,0.7,3,0.3,0.9,0.5930851063829787,0.5379923318229348,10528,11476,"{'snorkel_first_run': 4.034248352050781, 'snorkel_run_after_fix': 11.450652122497559, 'solver_runtime': 1.252741813659668, 'repair_time': 0.9879257678985596}",198.0,8.125,16,19.5,17.725568056106567,0.3,0.3
tweets,0.5440920181247821,0.5526315789473685,20,1.0054221153259277,0.3,3,0.5,0.7,0.5930851063829787,0.5730032526201663,10528,11068,"{'snorkel_first_run': 4.636268377304077, 'snorkel_run_after_fix': 7.761109352111816, 'solver_runtime': 1.0243964195251465, 'repair_time': 1.0054221153259277}",59.0,5.375,16,10.625,14.427196264266968,0.3,0.3
tweets,0.5440920181247821,0.7041652143604044,20,1.0668048858642578,0.5,3,0.6,0.7,0.5930851063829787,0.7041652143604044,10528,11476,"{'snorkel_first_run': 4.0659425258636475, 'snorkel_run_after_fix': 10.701961278915405, 'solver_runtime': 1.1258516311645508, 'repair_time': 1.0668048858642578}",118.0,7.5,16,15.75,16.96056032180786,0.3,0.3
tweets,0.5440920181247821,0.5379923318229348,20,0.9782452583312988,0.7,3,0.3,0.9,0.5930851063829787,0.5379923318229348,10528,11476,"{'snorkel_first_run': 4.034326076507568, 'snorkel_run_after_fix': 11.448788166046143, 'solver_runtime': 1.319828987121582, 'repair_time': 0.9782452583312988}",198.0,8.125,16,19.5,17.781188488006592,0.3,0.3
tweets,0.5440920181247821,0.5538515162077379,20,0.7308998107910156,0.3,3,0.9,0.0,0.5930851063829787,0.5733357387696193,10528,11086,"{'snorkel_first_run': 4.228418350219727, 'snorkel_run_after_fix': 7.886749267578125, 'solver_runtime': 0.9168071746826172, 'repair_time': 0.7308998107910156}",59.0,5.125,16,10.125,13.762874603271484,0.3,0.5
tweets,0.5440920181247821,0.7451202509585221,20,1.0617773532867432,0.5,3,0.2,0.9,0.5930851063829787,0.7464210893854749,10528,11456,"{'snorkel_first_run': 4.052974700927734, 'snorkel_run_after_fix': 10.272643327713013, 'solver_runtime': 0.8148787021636963, 'repair_time': 1.0617773532867432}",118.0,7.375,16,15.375,16.202274084091187,0.3,0.5
tweets,0.5440920181247821,0.638027187173231,20,1.0763261318206787,0.7,3,0.4,0.4,0.5930851063829787,0.638027187173231,10528,11476,"{'snorkel_first_run': 5.749201536178589, 'snorkel_run_after_fix': 16.08584213256836, 'solver_runtime': 0.808192253112793, 'repair_time': 1.0763261318206787}",198.0,8.25,16,17.625,23.71956205368042,0.3,0.5
tweets,0.5440920181247821,0.7242070407807598,20,0.7365031242370605,0.3,3,1.0,0.8,0.5930851063829787,0.7575426123416279,10528,10971,"{'snorkel_first_run': 4.351574897766113, 'snorkel_run_after_fix': 8.765789985656738, 'solver_runtime': 1.3791210651397705, 'repair_time': 0.7365031242370605}",59.0,5.25,16,10.375,15.232989072799683,0.3,0.7
tweets,0.5440920181247821,0.6639072847682119,20,0.8794002532958984,0.5,3,0.9,1.0,0.5930851063829787,0.6639072847682119,10528,11476,"{'snorkel_first_run': 4.01413893699646, 'snorkel_run_after_fix': 9.775083541870117, 'solver_runtime': 1.1275897026062012, 'repair_time': 0.8794002532958984}",118.0,6.8125,16,13.875,15.796212434768677,0.3,0.7
tweets,0.5440920181247821,0.7060822586266992,20,0.8457305431365967,0.7,3,0.7,0.8,0.5930851063829787,0.7060822586266992,10528,11476,"{'snorkel_first_run': 4.405647277832031, 'snorkel_run_after_fix': 10.743098735809326, 'solver_runtime': 0.9088397026062012, 'repair_time': 0.8457305431365967}",198.0,7.8125,16,16.75,16.903316259384155,0.3,0.7
tweets,0.5440920181247821,0.5590798187521785,20,0.6613669395446777,0.3,3,0.8,0.1,0.5930851063829787,0.5790091147008393,10528,11081,"{'snorkel_first_run': 5.29093337059021, 'snorkel_run_after_fix': 8.563535451889038, 'solver_runtime': 1.0831241607666016, 'repair_time': 0.6613669395446777}",59.0,5.0625,16,10.0,15.598959922790527,0.5,0.3
tweets,0.5440920181247821,0.6659986057859881,20,0.9827179908752441,0.5,3,0.7,0.8,0.5930851063829787,0.6659986057859881,10528,11476,"{'snorkel_first_run': 4.130559206008911, 'snorkel_run_after_fix': 10.938041687011719, 'solver_runtime': 0.8878133296966553, 'repair_time': 0.9827179908752441}",118.0,7.375,16,15.0,16.93913221359253,0.5,0.3
