age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31, Private,291052, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2051,40, United-States, <=50K
43, Federal-gov,192712, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
39, Self-emp-inc,131288, Assoc-acdm,12, Married-civ-spouse, Sales, Unmarried, White, Male,5178,0,48, United-States, >50K
23, Private,330571, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
40, Private,238329, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
24, Federal-gov,210736, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1974,40, United-States, <=50K
34, Private,554206, HS-grad,9, Separated, Transport-moving, Not-in-family, Black, Male,0,0,20, United-States, <=50K
38, Private,275223, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
23, Private,178818, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private,169188, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,25, United-States, <=50K
28, Private,109001, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
54, Private,154728, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,7688,0,40, United-States, >50K
41, Local-gov,56482, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7688,0,50, United-States, >50K
43, Private,243580, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private,113959, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,45, United-States, >50K
24, State-gov,177526, Bachelors,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,15, United-States, <=50K
29, State-gov,356089, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
30, Private,280927, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Private,209423, 1st-4th,2, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, Cuba, <=50K
54, Local-gov,365049, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Mexico, <=50K
46, Private,380162, HS-grad,9, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, >50K
31, Private,137814, Some-college,10, Divorced, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
