ProviderNumber,HospitalName,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
120014,WILCOX MEMORIAL HOSPITAL,LIHUE,HI,96766.0,KAUAI,8082451103.0,Acute Care Hospitals,Government - Federal,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,HI_PN-5C
30074,SELLS INDIAN HEALTH SERVICE HOSPITAL,SELLS,AZ,85634.0,PIMA,5203837200.0,Acute Care Hospitals,Government - Federal,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AZ_SCIP-INF-1
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36461.0,MONROE,2515753111.0,Acute Care Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2
30013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,85364.0,YUMA,9283367275.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AZ_SCIP-INF-3
10064F,MIAMI VA MEDICAL CENTER,MIAMI,MA,33125.0,MIAMI-DADE,3053244455.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,FL_PN-5C
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,6320.0,NEW LONDON,8604420711.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,CT_SCIP-INF-2
190146,EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,LA,36608.0,JEFFERSON,5044544000.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),LA_SCIP-INF-3
151320,JAY COUNTY HOSPITAL,PORTLAND,IN,47371.0,JAY,2607267131.0,Critical Access Hospitals,Government - Local,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IN_HF-1
271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,CROW AGENCY,MT,59022.0,BIG HORN,4066382626.0,Critical Access Hospitals,Government - Federal,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,MT_SCIP-CARD-2
161317,MARENGO MEMORIAL HOSPITAL,MARENGO,IA,52301.0,IOWA,3196425543.0,Critical Access Hospitals,Government - Local,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,IA_AMI-5
161341,LUCAS COUNTY HEALTH CENTER,CHARITON,IA,50049.0,LUCAS,6417743000.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),IA_HF-3
140058,PASSAVANT AREA HOSPITAL,JACKSONVILLE,IL,62650.0,MORGAN,2172459551.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),IL_PN-6
210016,WASHINGTON ADVENTIST HOSPITAL,TAKOMA PARK,MD,20912.0,MONTGOMERY,3018917600.0,Acute Care Hospitals,Voluntary non-profit - Church,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,MD_SCIP-VTE-2
31309,SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505.0,APACHE,9287554500.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AZ_AMI-3
60011,DENVER HEALTH MEDICAL CENTER,DENVER,CO,80204.0,DENVER,3034366000.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,CO_SCIP-INF-4
140049,WEST SUBURBAN MEDICAL CENTER,OAK PARK,IL,60302.0,COOK,7083836200.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IL_HF-1
110201,COLISEUM NORTHSIDE HOSPITAL,MACON,GA,31210.0,BIBB,4787575990.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,GA_AMI-4
220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,2114.0,SUFFOLK,6177262000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),MA_SCIP-INF-6
220074,SOUTHCOAST HOSPITAL GROUP; INC,FALL RIVER,MA,2720.0,PLYMOUTH,5086793131.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,MA_AMI-2
