City,ZipCode,State,PhoneNumber,MeasureCode,MeasureName,Stateavg,ProviderNumber,HospitalName,Condition
BIRMINGHAM,35233,AL,2053258100,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Surgical Infection Prevention
SHEFFIELD,35660,AL,2563864556,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Attack
SHEFFIELD,35660,AL,2563864556,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Failure
SHEFFIELD,35660,AL,2563864556,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Failure
SHEFFIELD,35660,AL,2563864556,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Failure
SHEFFIELD,35660,AL,2563864556,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10019,HELEN KELLER MEMORIAL HOSPITAL,Heart Failure
DOTHAN,36302,AL,3347938701,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
DOTHAN,36302,AL,3347938701,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10001,SOUTHEAST ALABAMA MEDICAL CENTER,Heart Attack
