a,b,c,d,e
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
x,y,z,g,l
