strategy,complaint_size,runtime,avg_size_increase
optimal,2,0.10645031929016113,{0.4}
naive,2,0.09605884552001953,{0.7}
information gain,2,0.11402416229248047,{0.4}
optimal,4,0.35114598274230957,{0.7}
naive,4,0.19256019592285156,{2.3}
information gain,4,0.2628324031829834,{0.7}
optimal,6,2.2718918323516846,{1.7}
naive,6,0.29300761222839355,{5.0}
information gain,6,0.582439661026001,{1.8}
optimal,8,31.751217365264893,{2.5}
naive,8,0.41550183296203613,{7.7}
information gain,8,0.802905797958374,{2.5}
optimal,10,677.7296862602234,{2.7}
naive,10,0.5369594097137451,{11.2}
information gain,10,1.5818700790405273,{2.7}
optimal,2,0.10798358917236328,{0.4}
naive,2,0.09833478927612305,{0.7}
information gain,2,0.11583614349365234,{0.4}
optimal,4,0.35150885581970215,{0.7}
naive,4,0.18990850448608398,{2.5}
information gain,4,0.26073288917541504,{0.7}
optimal,6,3.1375598907470703,{1.7}
naive,6,0.29442787170410156,{5.7}
information gain,6,0.6812365055084229,{1.8}
optimal,8,52.9593288898468,{2.5}
naive,8,0.39182376861572266,{7.8}
information gain,8,0.7924699783325195,{2.5}
optimal,10,743.5061542987823,{2.7}
naive,10,0.5123727321624756,{10.3}
information gain,10,1.1437714099884033,{2.7}
