,type,_tid_,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
518,before_clean,259.0,44,local-gov,assoc-voc,divorced,tech-support,unmarried,asian-pac-islander,male,40,united-states,<=50k
519,after_clean,259.0,44,local-gov,assoc-voc,divorced,tech-support,unmarried,white,male,40,united-states,<=50k
0,ground_truth,259.0,44,local-gov,assoc-voc,divorced,tech-support,unmarried,asian-pac-islander,male,40,united-states,<=50k
664,after_clean,332.0,21,private,hs-grad,never-married,machine-op-inspct,unmarried,white,male,40,united-states,<=50k
665,before_clean,332.0,21,private,hs-grad,never-married,machine-op-inspct,unmarried,white,male,40,mexico,<=50k
0,ground_truth,332.0,21,private,hs-grad,never-married,machine-op-inspct,unmarried,white,male,40,mexico,<=50k
922,before_clean,461.0,33,state-gov,masters,never-married,prof-specialty,not-in-family,asian-pac-islander,male,30,japan,<=50k
923,after_clean,461.0,33,state-gov,masters,never-married,prof-specialty,not-in-family,asian-pac-islander,male,30,united-states,<=50k
0,ground_truth,461.0,33,state-gov,masters,never-married,prof-specialty,not-in-family,asian-pac-islander,male,30,japan,<=50k
988,before_clean,494.0,19,self-emp-not-inc,hs-grad,never-married,adm-clerical,own-child,asian-pac-islander,female,30,united-states,<=50k
989,after_clean,494.0,19,self-emp-not-inc,hs-grad,never-married,adm-clerical,own-child,white,female,30,united-states,<=50k
0,ground_truth,494.0,19,self-emp-not-inc,hs-grad,never-married,adm-clerical,own-child,asian-pac-islander,female,30,united-states,<=50k
606,before_clean,303.0,18,?,hs-grad,never-married,?,own-child,black,female,25,united-states,<=50k
607,after_clean,303.0,18,?,hs-grad,never-married,?,own-child,white,female,25,united-states,<=50k
0,ground_truth,303.0,18,?,hs-grad,never-married,?,own-child,black,female,25,united-states,<=50k
302,before_clean,151.0,80,?,hs-grad,married-civ-spouse,?,husband,white,male,8,canada,<=50k
303,after_clean,151.0,80,?,hs-grad,married-civ-spouse,?,husband,white,male,8,united-states,<=50k
0,ground_truth,151.0,80,?,hs-grad,married-civ-spouse,?,husband,white,male,8,canada,<=50k
568,before_clean,284.0,21,private,5th-6th,never-married,handlers-cleaners,not-in-family,white,male,40,mexico,<=50k
569,after_clean,284.0,21,private,5th-6th,never-married,handlers-cleaners,not-in-family,white,male,40,united-states,<=50k
0,ground_truth,284.0,21,private,5th-6th,never-married,handlers-cleaners,not-in-family,white,male,40,mexico,<=50k
382,after_clean,191.0,25,private,some-college,never-married,other-service,not-in-family,white,female,34,united-states,<=50k
383,before_clean,191.0,25,private,some-college,never-married,other-service,not-in-family,asian-pac-islander,female,34,united-states,<=50k
0,ground_truth,191.0,25,private,some-college,never-married,other-service,not-in-family,asian-pac-islander,female,34,united-states,<=50k
