comment_id,author,date,old_text,expected_label,cid,text,model_pred,vectors,id
z12kj5iz2obvunpm222oynsjrnmvjhkvj,LuckyMusiqLive,2014-10-30T17:58:18,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1,629,this song gives me strength  love her lyrics  this video really brings the  lyrics to life  i m getting known fast because i rap with meaning   thumbs  up if you piss next to the water in the toilet so its quiet   ,0,"-1,-1,-1,-1,1,1,-1,-1,-1,-1",0
z12qf5rimw3pfbw1w22pyruxovawz1dkq,Cristina Valencia,2014-09-12T15:26:38,"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ﻿",1,449,hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing    so please if you could like  this picture it would be very nice  thank you i really want to go to her  concert    https   www facebook com exagdl photos a                                                             type   amp theater ,1,"-1,-1,-1,-1,1,1,-1,-1,-1,1",1
z12dhdyq0lrxvfnkc23audjzgyjlhjoi204,andrewregino1,,Check out this video on YouTube:﻿,1,1204,check out this video on youtube ,1,"-1,-1,1,1,1,-1,-1,-1,-1,-1",2
z13eszqb3vejd3il423aslfyqnrzh5kto,Malyka Mason,2014-11-09T13:59:14.102000,Check out this video on YouTube:it is a old track but it still bad﻿,1,1078,check out this video on youtube it is a old track but it still bad,1,"-1,-1,1,1,1,-1,-1,-1,-1,-1",3
z12zu5v4qlruc11zc04cg5rrnzjehpzwv3g,SergiBeCa Official,2014-09-12T03:39:36,Can you check my videos please? Don't hate me :( Give me one oportunity﻿,1,445,can you check my videos please  don t hate me    give me one oportunity,1,"-1,-1,1,-1,-1,1,-1,-1,-1,-1",4
LneaDw26bFssNuHM19vJZwZIDvIkQHDPSkv7woLXuO0,ferhan kifle,,Go check out eminem survival.,1,1380,go check out eminem survival ,1,"-1,-1,1,1,-1,-1,-1,-1,-1,-1",5
z12fgphykwn0vb2du23ftzmjulq0z1olv,алексей алгаев,2015-02-01T15:51:59.518000,Hello from Russia comes to the channel subscribe﻿,1,1017,hello from russia comes to the channel subscribe,1,"-1,-1,-1,-1,-1,-1,-1,1,-1,-1",6
z12hzb1hzxbjh310c234ddqgoluidjufb,Aemon Sevker,2014-09-07T19:34:29, GO TO MY CHANNEL and check out my written songs﻿,1,417, go to my channel and check out my written songs,1,"-1,-1,1,1,-1,-1,-1,1,-1,-1",7
z132v5iajkjuhfkyn04cg3mxclnnzj0yxmo0k,richardex8,2014-11-03T23:03:03,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0,95,why does this video have so many views  because asian things are awesome and non asian countries are jelly so they  try to learn from asia by looking at this video d ,0,"-1,-1,-1,-1,1,-1,-1,-1,-1,-1",8
LneaDw26bFtLCuPUezUBnuN6f0sN3V3nso0Yllu9mKU,Terry-Lee Mackenney,,Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks,1,1494,hi guys im an upcoming rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all haters are welcome to    thanks,1,"-1,-1,1,1,-1,1,-1,1,-1,-1",9
