comment_id,author,date,old_text,expected_label,cid,text,model_pred,vectors,id
z12nf31pdvqmjdoyt04cdn3xzvajgrihnfo,Gonzalo Ferrare,2015-05-27T16:50:10.276000,this is increidebl﻿,0,723,this is increidebl,1,"-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",0
z12nejhigtr0tdvy504cgfcrhzvycxzin0k,Detroit Red Wings,2014-11-06T20:55:09,http://www.gofundme.com/gvr7xg﻿,1,174,http   www gofundme com gvr xg,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1",1
z12vzxcymvqtyrx3s22hi5ep1yq5cvmld,roflcopter2110,2014-09-19T23:18:41,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,1,490,http   thepiratebay se torrent          the expendables        dvdscr leaked clean xvid mp  rarbg ,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",2
z12ju5uxzvfmv1yzr04cdn2zjvvbfpdjglo0k,Nick M,2014-09-16T03:45:43,https://www.reverbnation.com/slicknick313/songs﻿,1,470,https   www reverbnation com slicknick    songs,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1",3
z12cvzca1qi3frejt04chrbhzsekxxopids,Paola Zelaya Deras,2014-11-07T01:17:29,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,0,658,this song is so awesome   she made everything stand out and all the viewers  could imagine themselves at the setting of the video  awesome job katy  perry    ,1,"-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",4
z13fdvwhykzhuldpn04cfdtwkyqterlavnk0k,iKap Taz,2014-11-08T13:34:27,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,1,302,follow   follow                             vaahidmustafic like   like ,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",5
_2viQ_Qnc6978LweIjWZsjP3qK1bgFSYyumKWxPsq_I,Titan,2013-08-08T21:16:25.626000,"Subscribe me, I will? subscribe you back!!!",1,1904,subscribe me  i will  subscribe you back   ,0,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1",6
z12hsdhwjqesj54wz04cc5aikwemsrarvak,Ben Romanucci,,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1,1183,im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind  that he learned and rapped about and forgot before eminem spit his first ryme luv ya linz  e,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",7
z13jcrsplozwthwj204cdpspeobusp3ie54,roflcopter2110,2014-09-19T23:15:14,http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,1,489,http   thepiratebay se torrent          the expendables        dvdscr xvid dingo ,0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",8
LneaDw26bFvwhMGEs3mKR9qcJjIwC7L04F9DEGkLQfY,Drake Gagne,,I KNOW YOU MAY NOT WANT TO READ THIS BUT please do  I&#39;m 87 Cypher an 11 year old rapper I have skill people said .my stuff isn&#39;t as good as my new stuff but its good please check out my current songs comment and like thank you for reading rap is my life,1,1534,i know you may not want to read this but please do  i     m    cypher an    year old rapper i have skill people said  my stuff isn     t as good as my new stuff but its good please check out my current songs comment and like thank you for reading rap is my life,1,"-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1",9
