comment_id,author,date,text,expected_label,model_pred,vectors
LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07T06:20:48,huh  anyway check out this you tube  channel  kobyoshi  ,1,1,"-1,1,-1,-1,-1,-1,-1,1,-1"
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,hey guys check out my new channel and our first vid this is us the  monkeys    i m the monkey in the white shirt please leave a like comment  and please subscribe    ,1,1,"-1,1,-1,-1,-1,-1,-1,1,1"
LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,2013-11-08T17:34:21,just for test i have to say murdev com,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09T08:28:43,me shaking my sexy ass on my channel enjoy     ,1,1,"-1,-1,-1,-1,-1,-1,1,1,-1"
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10T16:05:38,watch v vtarggvgtwq   check this out  ,1,1,"-1,1,-1,-1,-1,-1,-1,1,-1"
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,hey  check out my new website   this site is about kids stuff  kidsmediausa    com,1,1,"-1,1,-1,-1,-1,-1,-1,1,1"
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27T21:39:24,subscribe to my channel ,1,1,"-1,-1,-1,-1,-1,-1,-1,1,-1"
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28T12:33:27,i turned it on mute as soon is i came on i just wanted to check the  views   ,0,1,"-1,1,-1,-1,-1,-1,-1,1,0"
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28T16:01:47,you should check my channel for funny videos  ,1,1,"-1,1,-1,-1,-1,-1,1,-1,-1"
z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28T16:30:13,and u should d check my channel and tell me what i should do next ,1,1,"-1,1,-1,-1,-1,-1,-1,-1,1"
