comment_id,author,date,old_text,expected_label,text,model_pred,vectors,id
_2viQ_Qnc6-F0FnQlt7edQt9rRqV7Clx74E8hyKAVt0,BDOG1040,2013-07-25T05:45:57.646000,SUBSCRIBE MY CHANNEL,1,subscribe my channel,0,"-1,-1,-1,-1,-1,-1,-1,-1,0",0
z12bxv4olmv3j1i2w232y5awruz3i1rva,J STROMMER,2014-08-11T17:32:00,Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,1,take a break from katie and help me reach     subscribers this month   new  music and free downloads  ,0,"-1,-1,-1,-1,-1,-1,0,1,-1",1
z12jud4o3n34v5wph04ce3db0y2njn55gog0k,Kaya Roberts,2014-11-02T20:00:37,Admit it you just came here to check the number of viewers ﻿,0,admit it you just came here to check the number of viewers ,1,"-1,1,-1,-1,-1,-1,-1,-1,-1",2
_2viQ_Qnc6-Lev7nxVg9RnkxHYNAykFf9lV9qiEIFJY,macgyver16,2013-07-24T14:07:32.431000,adf.ly / KlD3Y,1,adf ly   kld y,0,"-1,-1,-1,-1,-1,-1,-1,-1,0",3
LneaDw26bFu1Ru9jx_4ZrghWiGAVmVtFPtTTpL7ihGI,deazy99,,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1,i know that maybe no one will read this but please type in  quot deazy   quot  i     m a rapper with a dream  i know you must see like millions of those on here everyday but please check out my music and subscribe if you     d like thank you  i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a  quot thumbs up quot  because what some might see as just a simple button press could make my dream come true  thank you again for your time  amp  may god bless you,0,"-1,1,0,-1,-1,-1,-1,1,-1",4
LneaDw26bFsBtfre7-TAAB3E03wBGNFYTtG5EG4-Zq8,Laura Brown,,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1,you guys should check out this extraordinary website called moneygq com     you can make money online and start working from home today as i am    i am making over         per month at moneygq com     visit moneygq com and check it out    lake     magnificent   noodile   unequaled   moderock   gogopo   lulerain   olielle   zesty   laughable   accidental   pepelexa   delightful   wiry   toogit   uncovered   chesture   woozy   adhoc   weak   shallow,1,"-1,1,-1,-1,-1,-1,0,-1,-1",5
z133stly3kete3tly22petvwdpmghrlli,Analena López,2015-05-28T17:08:29.827000,shakira is best for worldcup﻿,0,shakira is best for worldcup,0,"-1,-1,-1,1,-1,-1,-1,-1,-1",6
_2viQ_Qnc6-CRJO_6pvsByopsnD3qpCbK0IPhkvTuS8,RanMC & RVNNIN' RVNN,2013-09-26T20:13:40.670000,Hey check out our new musicvideo &#39;&#39;Life&#39;s a celebration&#39;&#39; Peace !,1,hey check out our new musicvideo           life     s a celebration           peace  ,1,"-1,1,-1,-1,-1,-1,-1,-1,-1",7
LneaDw26bFssNuHM19vJZwZIDvIkQHDPSkv7woLXuO0,ferhan kifle,,Go check out eminem survival.,1,go check out eminem survival ,1,"-1,1,-1,-1,-1,-1,-1,-1,-1",8
_2viQ_Qnc694tFwvOhmFcrz4GGaxVyxStdYmFH-nR68,5000palo,2013-10-04T16:15:05.278000,I want new song,0,i want new song,0,"0,-1,-1,-1,-1,-1,-1,-1,0",9
