comment_id,author,date,old_text,expected_label,cid,text,model_pred,vectors,id
z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,2013-11-28T21:49:00,I'm only checking the views﻿,0,17,i m only checking the views,0,"-1,-1,-1,-1,1,-1,0,-1,-1,-1",0
z13csdop4venytrru04cf11q1wmbdvkrfpo0k,ii Trollercopter,2014-01-19T17:25:23," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1,39, hey everyone   i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf   and give me  some advice on how my video was and how i could improve it  also be sure to  go check out the about to see what im all about  thanks for your time       and to haters    you hate  i win,0,"-1,1,-1,-1,-1,-1,0,1,-1,-1",1
z12eexphzo2uslizg04cirmywyzjdnm5gqc0k,fab life,2014-11-02T00:48:57,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1,72,plz check out fablife   welcome to fablife for diys and challenges so plz  subscribe thx ,1,"-1,1,-1,-1,-1,-1,0,-1,-1,1",2
z12ywjvgdtrhxdlz504cd1tquqvuhbs4abw,Angel,2014-11-02T17:27:09,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1,80,hi there i m group leader of angel  a rookie korean pop group  we have four  members  chanicka  julie  stephanie  and myself  leah  please feel free to  check out our channel and leave some feedback on our cover videos     criticism is welcome as we know we re not top notch singers so please come  leave some constructive feedback on our videos  we appreciate any chance to  improve before auditioning for a korean management company  we plan on  auditioning for jyp  bighit  jellyfish  yg or sm  thank you for taking time  out of your day to read this  ,0,"-1,1,-1,-1,-1,-1,0,1,-1,-1",3
z13gy5vi3kzfzbtyu04cctyzpuz3vfqgw1w,citywok68,2014-09-20T03:45:12,Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks﻿,1,493,hey guys plz check out my youtube channel to c funny   girls   cup reaction  thanks and plz subscribe  thanks,1,"-1,1,-1,-1,-1,-1,-1,-1,-1,1",4
z12jzdjxvvmxz3ymb23fwhyg4ub0xdju2,craftygirl20141,2014-11-10T19:46:03.336000,hi everyone this is cool check out sexy and i know it﻿,1,1076,hi everyone this is cool check out sexy and i know it,0,"-1,1,-1,-1,-1,-1,0,-1,-1,-1",5
z12ghdxjkwbrwrpth22xztiipleoftwfx,Hoye Boyz,2014-09-13T09:07:27.253000,"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿",1,1103,hahaa this dance is tightttt br    br   i know y     all  quot ain     t got time for my demo man quot  but check out some of my stuff br    br   slappers on slappers on bangers  click that link below to peep game  enjoy  br    br    a href  https   soundcloud com rocc steady wave emoji prod by nippylongbottom cyber punk  https   soundcloud com rocc steady wave emoji prod by nippylongbottom cyber punk  a ,1,"-1,1,-1,-1,-1,1,-1,-1,-1,-1",6
LneaDw26bFs1RtSwnOjwqXJGQrskf-Ocb9xxtCuif98,AD OSG,,Please check out my New Song (Music Video) AD - Don&#39;t Play,1,1301,please check out my new song  music video  ad   don     t play,0,"0,1,-1,-1,-1,-1,-1,-1,-1,-1",7
LneaDw26bFtALaOnhQgvfdsxEfR5GGMiiqg8sneY-xg,Drake Gagne,,Hey guys I&#39;m 87 cypher im 11 years old and Rap is my life I recently made my second album desire ep . please take a moment to check out my album on YouTube thank you very much for reading every like comment and subscription counts,1,1449,hey guys i     m    cypher im    years old and rap is my life i recently made my second album desire ep   please take a moment to check out my album on youtube thank you very much for reading every like comment and subscription counts,1,"-1,1,-1,-1,-1,-1,-1,-1,-1,-1",8
_2viQ_Qnc6_m4670hGGDwGjYreYnRR8359YYmuS_lDA,Adam Whitney,2013-08-26T05:24:14.644000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1,1884,hello everyone    i know most of you probably pass up these kind of comments  but for those who are still reading this  thanks  i dont have any money for advertisements  no chance of getting heard  nothing  i live in such a small town    if this comes off as spam  sorry  im an instrumental songwriter from columbus  mississippi  please go to my channel and check out my original music  it would be highly appreciated if you thumbs up this comment so my music can be heard  thank you  adam whitney ,0,"-1,1,-1,-1,-1,-1,0,1,-1,-1",9
