explainer,num_s_with_A,num_s_not_with_A,num_result_A,num_resul_notA,score
"{'words': ['shakira'], 'funcs': [func: keyword_shakira]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_song]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: regex_link, func: keyword_song]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_song, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: regex_link, func: keyword_song, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,40,145,0.5619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe]}",40,331,39,145,0.5369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: keyword_song]}",40,331,39,145,0.5369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,39,145,0.5369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: regex_link]}",40,331,38,145,0.5119335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_song]}",40,331,38,145,0.5119335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: regex_link, func: short_comment]}",40,331,38,145,0.5119335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: keyword_song]}",40,331,38,145,0.5119335347432024
