tid,attribute,correct_val
0,a,x
0,b,y
0,c,z
0,d,g
0,e,l
1,a,x
1,b,y
1,c,z
1,d,g
1,e,l
2,a,x
2,b,y
2,c,z
2,d,g
2,e,l
3,a,x
3,b,y
3,c,z
3,d,g
3,e,l
4,a,x
4,b,y
4,c,z
4,d,g
4,e,l
5,a,x
5,b,y
5,c,z
5,d,g
5,e,l
6,a,x
6,b,y
6,c,z
6,d,g
6,e,l
7,a,x
7,b,y
7,c,z
7,d,g
7,e,l
8,a,x
8,b,y
8,c,z
8,d,g
8,e,l
9,a,x
9,b,y
9,c,z
9,d,g
9,e,l
10,a,x
10,b,y
10,c,z
10,d,g
10,e,l
11,a,x
11,b,y
11,c,z
11,d,g
11,e,l
12,a,x
12,b,y
12,c,z
12,d,g
12,e,l
13,a,x
13,b,y
13,c,z
13,d,g
13,e,l
14,a,x
14,b,y
14,c,z
14,d,g
14,e,l
15,a,x
15,b,y
15,c,z
15,d,g
15,e,l
16,a,x
16,b,y
16,c,z
16,d,g
16,e,l
17,a,x
17,b,y
17,c,z
17,d,g
17,e,l
18,a,x
18,b,y
18,c,z
18,d,g
18,e,l
19,a,x
19,b,y
19,c,z
19,d,g
19,e,l
20,a,x
20,b,y
20,c,z
20,d,g
20,e,l
21,a,x
21,b,y
21,c,z
21,d,g
21,e,l
22,a,x
22,b,y
22,c,z
22,d,g
22,e,l
23,a,x
23,b,y
23,c,z
23,d,g
23,e,l
24,a,x
24,b,y
24,c,z
24,d,g
24,e,l
25,a,x
25,b,y
25,c,z
25,d,g
25,e,l
26,a,x
26,b,y
26,c,z
26,d,g
26,e,l
27,a,x
27,b,y
27,c,z
27,d,g
27,e,l
28,a,x
28,b,y
28,c,z
28,d,g
28,e,l
29,a,x
29,b,y
29,c,z
29,d,g
29,e,l
30,a,x
30,b,y
30,c,z
30,d,g
30,e,l
31,a,x
31,b,y
31,c,z
31,d,g
31,e,l
32,a,x
32,b,y
32,c,z
32,d,g
32,e,l
33,a,x
33,b,y
33,c,z
33,d,g
33,e,l
34,a,x
34,b,y
34,c,z
34,d,g
34,e,l
35,a,x
35,b,y
35,c,z
35,d,g
35,e,l
36,a,x
36,b,y
36,c,z
36,d,g
36,e,l
37,a,x
37,b,y
37,c,z
37,d,g
37,e,l
38,a,x
38,b,y
38,c,z
38,d,g
38,e,l
39,a,x
39,b,y
39,c,z
39,d,g
39,e,l
40,a,x
40,b,y
40,c,z
40,d,g
40,e,l
41,a,x
41,b,y
41,c,z
41,d,g
41,e,l
42,a,x
42,b,y
42,c,z
42,d,g
42,e,l
43,a,x
43,b,y
43,c,z
43,d,g
43,e,l
44,a,x
44,b,y
44,c,z
44,d,g
44,e,l
