tid,attribute,correct_val
0,City,BIRMINGHAM
0,ZipCode,35233
0,State,AL
0,PhoneNumber,2053258100
0,MeasureCode,SCIP-CARD-2
0,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
0,Stateavg,AL_SCIP-CARD-2
0,ProviderNumber,10018
0,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
0,Condition,Surgical Infection Prevention
1,City,BIRMINGHAM
1,ZipCode,35233
1,State,AL
1,PhoneNumber,2053258100
1,MeasureCode,SCIP-INF-1
1,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
1,Stateavg,AL_SCIP-INF-1
1,ProviderNumber,10018
1,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
1,Condition,Surgical Infection Prevention
2,City,BIRMINGHAM
2,ZipCode,35233
2,State,AL
2,PhoneNumber,2053258100
2,MeasureCode,SCIP-INF-2
2,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
2,Stateavg,AL_SCIP-INF-2
2,ProviderNumber,10018
2,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
2,Condition,Surgical Infection Prevention
3,City,BIRMINGHAM
3,ZipCode,35233
3,State,AL
3,PhoneNumber,2053258100
3,MeasureCode,SCIP-INF-3
3,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3,Stateavg,AL_SCIP-INF-3
3,ProviderNumber,10018
3,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
3,Condition,Surgical Infection Prevention
4,City,BIRMINGHAM
4,ZipCode,35233
4,State,AL
4,PhoneNumber,2053258100
4,MeasureCode,SCIP-INF-4
4,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
4,Stateavg,AL_SCIP-INF-4
4,ProviderNumber,10018
4,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
4,Condition,Surgical Infection Prevention
5,City,BIRMINGHAM
5,ZipCode,35233
5,State,AL
5,PhoneNumber,2053258100
5,MeasureCode,SCIP-INF-6
5,MeasureName,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
5,Stateavg,AL_SCIP-INF-6
5,ProviderNumber,10018
5,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
5,Condition,Surgical Infection Prevention
6,City,BIRMINGHAM
6,ZipCode,35233
6,State,AL
6,PhoneNumber,2053258100
6,MeasureCode,SCIP-VTE-1
6,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
6,Stateavg,AL_SCIP-VTE-1
6,ProviderNumber,10018
6,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
6,Condition,Surgical Infection Prevention
7,City,BIRMINGHAM
7,ZipCode,35233
7,State,AL
7,PhoneNumber,2053258100
7,MeasureCode,SCIP-VTE-2
7,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
7,Stateavg,AL_SCIP-VTE-2
7,ProviderNumber,10018
7,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
7,Condition,Surgical Infection Prevention
8,City,SHEFFIELD
8,ZipCode,35660
8,State,AL
8,PhoneNumber,2563864556
8,MeasureCode,AMI-1
8,MeasureName,Heart Attack Patients Given Aspirin at Arrival
8,Stateavg,AL_AMI-1
8,ProviderNumber,10019
8,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
8,Condition,Heart Attack
9,City,SHEFFIELD
9,ZipCode,35660
9,State,AL
9,PhoneNumber,2563864556
9,MeasureCode,AMI-2
9,MeasureName,Heart Attack Patients Given Aspirin at Discharge
9,Stateavg,AL_AMI-2
9,ProviderNumber,10019
9,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
9,Condition,Heart Attack
10,City,SHEFFIELD
10,ZipCode,35660
10,State,AL
10,PhoneNumber,2563864556
10,MeasureCode,AMI-3
10,MeasureName,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
10,Stateavg,AL_AMI-3
10,ProviderNumber,10019
10,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
10,Condition,Heart Attack
11,City,SHEFFIELD
11,ZipCode,35660
11,State,AL
11,PhoneNumber,2563864556
11,MeasureCode,AMI-4
11,MeasureName,Heart Attack Patients Given Smoking Cessation Advice/Counseling
11,Stateavg,AL_AMI-4
11,ProviderNumber,10019
11,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
11,Condition,Heart Attack
12,City,SHEFFIELD
12,ZipCode,35660
12,State,AL
12,PhoneNumber,2563864556
12,MeasureCode,AMI-5
12,MeasureName,Heart Attack Patients Given Beta Blocker at Discharge
12,Stateavg,AL_AMI-5
12,ProviderNumber,10019
12,HospitalName,HELEN KELLER MEMORIAL HOSPITAL
